id,name,description,price,unit,size,material,turnaround,notes
1,Bus Cards,Standard business cards full color,45,500,3.5x2,14pt C2S,3-5 days,most popular item
2,biz card premium,Thick cards with soft touch,89.99,500 cards,3.5 x 2 in,18pt w/ soft touch lamination,3 business days,
3,Postcards 4x6,full color both sides,55,per 250,4x6,14pt,5 day turn,can do 5x7 too ask
4,YARD SIGNS,Coroplast yard signs w/ H-stake,18.5,each,18x24,4mm corrugated plastic,next day,includes H-stake wire
5,yard sign 2,big yard sign,28,1,24x36 inches,coroplast 4mm,2 day,no stake included
6,vinyl banner,outdoor banner hemmed and grommeted,3.50,per sqft,custom sizes,13oz vinyl,2-3 days,min 2x4 ft
7,Mesh Banner,wind through banner for fences,4.25,sqft,any size,mesh vinyl material,3 days,
8,flyers - standard,Full color flyers on 100# gloss text,29,250,8.5x11,100# gloss text,5 bus days,also do half page
9,Brochures trifold,8.5x11 folded to trifold,185,per 500,8.5 x 11 flat,100# gloss text,5-7 days,scored and folded
10,door hangers,Die cut door hangers,95,250,4.25x11,14pt C2S,5 days,3.5x8.5 also available
11,NCR Forms 2part,Carbonless forms 2 part,225,250 sets,8.5x11,NCR paper,7-10 days,can do 3 and 4 part
12,NCR 3 PART,3 part carbonless,275,250 sets,8.5x11,ncr,7-10 bus days,numbered +$25
13,Window Cling,static cling no adhesive,8.50,sq ft,custom,8mil vinyl,3-5 days,first surface or second surface
14,car magnets,vehicle magnets rounded corners,65,pair,12x24,30mil magnetic,3 days,UV laminated
15,Stickers/Labels,Custom die cut stickers,POA,,varies,vinyl,5 days,call for quote min 100
16,Wide Format Print,large format printing on various,POA,sqft,up to 60in wide,varies,2-3 days,latex or UV printer
17,canvas wrap,gallery wrapped canvas prints,price varies by size,,varies,canvas + wood frame,5-7 days,sizes from 8x10 to 40x60
18,booklets saddle,Saddle stitched booklets,call us,,8.5x11 finished,80# gloss text / 100# cover,10 days,8 page minimum
19,Envelopes #10,full color printed envelopes,189,500,#10 (4.125x9.5),24# white wove,7 days,window +$20
20,T Shirt Prints,DTG and screen print tshirts,varies,each,S-3XL,Gildan 5000 or equiv,5-7 days,1-color screen min 24pcs
